Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-01-01,1,0,0,0,0,0,1,3,0,7,12,10,23,18,17,19,35,24,16,15,13,11,5,3
2015-01-02,0,0,0,0,0,0,5,9,20,24,19,25,28,37,56,44,35,32,49,40,26,18,15,10
2015-01-03,0,0,0,0,0,0,0,3,8,8,18,22,27,25,29,22,25,28,18,19,15,16,16,7
2015-01-04,0,0,0,0,0,0,1,2,5,10,19,26,23,34,30,23,18,20,17,10,5,10,4,3
2015-01-05,0,0,0,0,0,0,5,17,25,22,24,22,28,32,45,42,33,17,47,44,18,9,8,6
2015-01-06,0,0,0,0,0,0,1,10,16,19,21,20,23,24,31,26,24,29,31,32,22,13,4,0
2015-01-07,0,0,0,0,0,0,3,7,12,15,13,17,21,26,32,23,15,33,38,42,19,18,5,11
2015-01-08,0,0,0,0,0,0,4,6,8,16,21,25,18,24,21,23,19,19,31,30,12,15,13,4
2015-01-09,0,0,0,0,0,0,1,4,11,12,11,9,13,18,27,32,20,19,29,10,18,10,7,8
2015-01-10,0,0,0,0,0,0,0,1,5,6,7,17,10,16,20,14,9,8,9,13,9,9,3,3
2015-01-11,0,0,0,0,0,0,0,0,3,11,9,12,11,14,7,10,9,5,7,2,4,5,4,2
2015-01-12,0,0,0,0,0,0,2,1,14,9,6,13,22,15,13,10,11,14,23,21,14,7,1,1
2015-01-13,0,0,0,0,0,0,2,5,9,6,8,13,21,19,18,13,14,16,14,18,10,8,0,2
2015-01-14,1,0,0,0,0,1,0,1,6,8,10,8,7,14,9,14,9,13,19,12,9,7,3,1
2015-01-15,0,0,0,0,0,0,2,0,3,6,7,10,12,15,20,13,11,7,18,12,7,4,6,2
2015-01-16,0,0,0,0,0,1,0,1,9,8,5,13,14,17,8,11,13,15,14,8,8,9,6,5
2015-01-17,0,0,0,0,0,0,0,1,3,4,3,4,9,14,12,7,5,6,10,8,3,4,4,4
2015-01-18,1,0,0,0,0,0,0,0,1,1,6,8,11,4,4,8,4,6,2,1,3,2,0,2
2015-01-19,0,0,0,0,0,0,0,5,10,7,3,12,10,6,11,9,7,8,11,6,7,5,3,2
2015-01-20,0,0,0,0,0,1,0,0,6,6,4,8,12,8,10,10,10,12,11,9,11,6,4,1
2015-01-21,0,0,0,0,0,1,1,2,7,10,10,6,3,5,11,11,7,6,4,2,5,5,2,0
2015-01-22,0,0,0,0,0,0,1,0,2,3,3,8,6,12,4,8,7,8,9,11,7,2,2,0
2015-01-23,0,0,0,0,0,0,3,1,4,3,3,9,11,5,11,7,7,9,7,6,3,5,6,1
2015-01-24,0,0,0,0,0,0,0,0,0,1,8,6,9,11,11,9,2,2,5,2,1,1,1,2
2015-01-25,0,0,0,0,0,0,1,0,2,0,6,7,3,5,6,1,4,1,1,1,1,0,2,1
2015-01-26,0,0,0,0,0,0,2,2,3,5,6,3,4,3,3,12,5,4,7,8,7,5,2,1
2015-01-27,0,0,0,0,0,1,0,2,4,4,1,4,5,5,6,5,1,7,12,7,5,7,1,1
2015-01-28,0,0,0,0,0,0,0,0,4,4,3,3,5,6,3,5,4,5,8,7,5,6,4,1
2015-01-29,0,0,0,0,0,0,0,1,5,1,2,5,4,4,5,4,2,10,7,12,1,2,2,1
2015-01-30,0,0,0,0,0,0,1,0,2,3,1,5,4,6,4,7,9,7,4,6,3,4,4,2
2015-01-31,0,0,0,0,0,0,0,0,2,3,1,4,2,6,1,2,0,1,2,3,4,1,3,2
2015-02-01,2,0,0,0,0,0,2,2,7,14,22,38,53,54,31,33,25,30,15,18,20,12,14,4
2015-02-02,0,0,0,0,0,0,4,2,9,16,15,32,27,36,31,15,10,20,21,15,15,18,7,1
2015-02-03,0,0,0,0,0,0,8,18,49,49,51,55,56,45,67,62,52,51,79,66,43,30,15,6
2015-02-04,0,0,0,0,0,0,13,25,40,36,30,27,44,44,44,35,32,26,45,46,27,20,3,6
2015-02-05,0,0,0,0,0,1,6,20,30,27,26,35,21,33,34,37,32,35,41,20,22,17,11,3
2015-02-06,0,0,0,0,0,0,2,5,22,15,14,24,11,27,42,26,30,31,28,20,16,19,11,7
2015-02-07,1,0,0,0,0,0,3,3,9,10,15,20,8,18,25,14,13,20,17,15,11,10,8,7
2015-02-08,0,0,0,0,0,0,0,1,2,13,16,12,14,12,12,6,4,11,9,6,4,5,2,1
2015-02-09,0,0,0,0,0,0,4,8,10,11,8,8,17,12,23,17,12,22,15,25,12,5,3,1
2015-02-10,0,0,0,0,0,0,5,6,9,18,10,17,27,15,11,29,13,16,26,12,12,12,5,1
2015-02-11,0,0,0,0,0,0,0,5,5,17,14,10,15,14,17,17,8,9,15,22,7,12,4,3
2015-02-12,0,0,0,0,0,0,3,4,9,10,6,12,8,19,19,14,9,15,21,5,4,4,3,1
2015-02-13,0,0,0,0,0,1,0,2,3,9,1,4,5,13,19,5,4,5,7,8,7,5,5,1
2015-02-14,0,0,0,0,0,0,1,0,1,10,6,6,9,12,7,14,3,7,7,8,8,5,5,1
2015-02-15,0,0,0,0,0,0,1,2,0,2,1,3,9,15,7,6,4,4,3,4,2,3,1,0
2015-02-16,0,0,0,0,0,0,3,3,9,6,4,10,10,13,8,10,9,12,11,11,4,6,2,2
2015-02-17,0,0,0,0,0,0,0,4,6,7,3,11,3,11,11,9,8,10,17,9,6,3,5,3
2015-02-18,1,0,0,0,0,0,2,3,7,7,7,6,9,7,18,10,4,3,11,8,4,3,3,0
2015-02-19,1,0,0,0,0,0,1,2,5,8,4,4,7,7,10,9,11,7,10,8,6,6,3,0
2015-02-20,0,0,0,0,0,0,1,0,2,4,5,3,7,3,8,2,10,6,7,8,5,6,4,2
2015-02-21,0,0,0,0,0,0,0,1,3,3,2,3,9,2,9,3,1,4,4,8,4,3,2,0
2015-02-22,0,0,0,0,0,0,3,1,1,2,4,5,4,5,3,6,1,2,4,3,1,1,2,0
2015-02-23,0,0,0,0,0,0,0,0,2,7,6,3,4,5,8,4,7,8,12,4,5,3,1,0
2015-02-24,0,0,0,0,0,0,1,0,3,3,9,7,6,6,3,4,5,5,6,5,9,3,1,1
2015-02-25,0,0,0,0,0,0,0,1,7,6,3,3,5,7,6,3,6,8,9,3,3,2,2,1
2015-02-26,0,0,0,0,0,0,2,1,6,4,3,3,3,3,4,2,4,6,4,2,2,3,2,1
2015-02-27,0,0,0,0,0,0,0,0,3,3,2,8,2,4,1,6,11,4,12,3,2,3,3,1
2015-02-28,0,0,0,0,0,0,0,1,2,2,2,4,8,5,6,2,3,1,3,0,1,3,1,1
2015-03-01,2,0,0,0,0,0,0,6,18,26,47,55,60,54,30,27,25,26,17,22,13,20,16,3
2015-03-02,0,0,0,0,0,3,29,46,82,75,41,63,50,41,80,59,57,73,78,79,51,42,20,8
2015-03-03,0,0,0,0,0,0,8,24,36,43,37,19,44,50,46,35,37,41,68,47,36,31,18,11
2015-03-04,1,0,0,0,0,0,5,17,29,33,23,27,24,22,35,18,34,28,34,28,28,21,10,2
2015-03-05,1,0,0,0,0,0,4,11,13,19,26,32,16,27,32,21,26,22,40,25,27,16,6,2
2015-03-06,0,0,0,0,0,0,1,5,11,21,21,22,21,21,22,24,16,23,23,30,20,19,7,3
2015-03-07,0,0,0,0,0,0,2,4,8,10,10,16,10,28,27,20,17,8,8,10,6,17,4,7
2015-03-08,0,0,0,0,0,0,1,0,1,4,8,11,18,10,7,11,6,3,6,6,4,3,5,3
2015-03-09,0,0,0,0,0,0,1,7,12,21,11,9,14,15,15,16,13,11,14,13,15,5,4,4
2015-03-10,1,0,0,0,0,0,0,1,8,11,10,11,6,5,13,3,5,1,5,6,3,4,4,1
2015-03-11,0,0,0,0,0,0,3,3,15,11,7,15,14,14,12,18,12,17,15,13,12,8,6,1
2015-03-12,0,0,0,0,0,0,2,5,8,7,5,7,11,16,13,7,11,15,12,8,13,14,10,5
2015-03-13,1,0,0,0,0,0,2,2,4,6,11,5,16,14,10,9,11,12,5,16,12,6,4,1
2015-03-14,1,0,0,0,0,0,0,0,1,4,4,5,4,5,4,3,3,4,4,6,3,2,1,2
2015-03-15,0,0,0,0,0,0,0,0,2,2,4,2,1,4,0,0,0,1,2,0,1,1,0,0
2015-03-16,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0
2015-03-17,0,0,0,0,0,0,0,2,0,1,2,5,3,10,14,7,9,4,15,18,4,11,6,0
