id,Origen_Id,Destino_Id
2,55435,56741
3,46211,42417
4,55851,49678
5,30305,28244
6,26855,36292
8,24117,27208
9,46989,51955
10,37322,39250
11,124939,114314
12,50265,52778
13,33999,32811
14,42285,40710
15,32398,31736
16,72353,72583
17,60459,59541
18,42138,38663
19,44673,36520
20,33186,31822
21,83146,74960
22,33824,32738
23,54932,53677
24,31696,28518
25,39764,35893
26,46212,45088
27,60466,63538
28,56893,53781
29,26681,32086
30,53927,49807
31,25614,43481
32,68392,60750
33,55426,52516
34,84933,109386
35,88053,101411
36,46233,52440
37,28250,30627
38,74231,78399
39,43362,40836
40,44438,43415
41,29178,26722
42,51596,63053
43,29890,28737
44,39511,33850
45,51728,41169
46,37674,35663
47,40292,34931
48,29021,28299
49,52263,47815
50,151940,161955
51,175222,220256
52,128606,128137
53,70880,80515
54,110346,122856
55,29301,35677
56,95166,118024
57,30533,36699
58,81163,91539
59,30295,37767
60,33609,33721
61,38483,36708
62,57666,60411
63,74304,74431
64,77328,82418
65,93687,92078
66,90384,90740
67,44586,42717
68,33745,31641
69,73067,73813
70,58452,61720
71,32276,28976
72,48130,48328
73,73567,68873
74,46302,42723
75,115423,106364
76,26903,28094
77,29842,35021
78,29910,55157
79,50503,53524
80,72830,85578
81,34870,36154
82,52435,43258
83,35029,36529
84,37847,36694
85,57492,61891
86,85540,78466
87,27568,22400
88,30359,25959
91,3133,3174
92,4184,3657
93,3489,3117
94,322,330
95,2324,2289
96,4780,3973
97,1178,987
98,7602,7423
99,145,169
100,7396,5910
101,2642,2367
102,7172,5936
103,5385,6296
104,2722,3198
105,3658,2419
106,13288,13400
107,1081,932
108,4996,4898
109,424,393
110,8380,7751
111,6019,9082
112,4235,5436
113,1502,1314
114,2559,4057
115,1399,1152
116,188,186
117,10609,10068
118,1439,1521
119,2976,2561
120,3330,3045
125,11233,7795
126,11965,9078
127,9438,6660
128,5102,4159
129,3199,2279
130,12807,11281
131,9087,8209
132,5386,4952
133,15341,12162
134,6865,5684
135,6468,5176
136,6056,5158
137,4967,4246
138,414,501
139,5765,6003
140,13400,11002
141,21751,22147
142,14647,12708
143,15818,13575
144,5605,4053
145,4277,3160
146,3956,2808
147,1710,1605
148,20190,15706
149,7457,7034
150,11822,10969
151,8402,6628
152,8269,7055
153,7023,6030
154,25049,23563
155,22776,23956
156,40534,39688
157,42277,49139
158,33446,45270
159,13954,19215
160,26976,29058
161,26869,25103
162,33643,50060
163,31113,35828
164,15829,16339
165,41181,37948
166,25314,23700
167,10704,8107
168,32665,32206
169,23855,21134
170,29356,27434
171,52893,49403
172,31225,33426
173,68950,74479
174,27484,30078
175,26878,30318
176,23741,18006
177,21088,18288
178,21652,32096
179,30360,28067
180,29299,27831
181,17024,22009
182,41030,40781
183,26986,23790
184,16170,13720
185,12017,10895
186,12034,9855
187,13376,11905
188,34992,28090
189,18600,15422
190,17730,14883
191,24398,19080
192,16676,12940
193,20356,15404
194,84641,49461
195,30794,21122
196,56138,46460
197,33555,23747
198,32123,24512
199,53371,49705
200,30086,25435
201,25589,16054
202,19374,17366
203,28115,23242
204,18341,16092
205,8277,4881
206,14165,11521
207,27904,25595
208,18543,16504
209,8183,6110
210,20657,17876
211,18432,16066
212,11763,7220
213,8493,5754
214,10516,6586
215,6945,5124
216,17924,13076
217,3880,3295
218,5084,4003
219,8647,6597
220,4961,3647
221,11002,8343
222,11585,8480
223,1948,760
224,17666,14158
225,13719,16689
226,44286,46126
227,18293,19999
228,13733,15604
229,11208,13129
230,20118,21878
231,9568,9763
232,19908,26473
233,34186,38171
234,15088,18631
235,17801,15040
236,21035,26726
237,8328,7844
238,8581,6680
239,4283,3583
240,4034,4622
241,9280,8028
242,7033,5535
243,10615,9196
244,24043,22340
246,19305,19885
247,32966,47958
248,7738,14400
249,25968,28693
250,8710,9793
251,6901,5464
253,16878,13396
254,11637,10147
255,8283,7029
256,9225,9898
257,499,494
258,323,307
259,1129,1150
260,1877,2046
261,467,697
262,909,1023
263,1153,1276
264,797,911
265,514,626
266,1044,1081
267,481,388
268,1435,1554
269,444,676
270,335,358
271,2538,2431
272,2192,2192
273,0,0
274,906,1338
275,1157,1403
276,852,1057
277,836,705
278,637,631
279,841,916
280,918,922
281,1265,1207
282,616,636
283,862,957
284,301,308
285,631,651
286,553,598
287,139,149
288,164,144
289,492,532
290,232,191
291,656,718
292,55,66
293,169,192
294,133,182
295,307,305
296,983,1197
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
