Date,Count
2015-01-01,289
2015-01-02,662
2015-01-03,537
2015-01-04,582
2015-01-05,981
2015-01-06,970
2015-01-07,1165
2015-01-08,1186
2015-01-09,1189
2015-01-10,768
2015-01-11,629
2015-01-12,1134
2015-01-13,1241
2015-01-14,1173
2015-01-15,1252
2015-01-16,1247
2015-01-17,837
2015-01-18,638
2015-01-19,1303
2015-01-20,1326
2015-01-21,1293
2015-01-22,1338
2015-01-23,1358
2015-01-24,835
2015-01-25,733
2015-01-26,1215
2015-01-27,1305
2015-01-28,1384
2015-01-29,1459
2015-01-30,1323
2015-01-31,792
2015-02-01,564
2015-02-02,500
2015-02-03,1292
2015-02-04,1304
2015-02-05,1429
2015-02-06,1328
2015-02-07,949
2015-02-08,600
2015-02-09,1320
2015-02-10,1478
2015-02-11,1491
2015-02-12,1269
2015-02-13,978
2015-02-14,847
2015-02-15,604
2015-02-16,1426
2015-02-17,1500
2015-02-18,1483
2015-02-19,1449
2015-02-20,1397
2015-02-21,861
2015-02-22,709
2015-02-23,1357
2015-02-24,1487
2015-02-25,1445
2015-02-26,1407
2015-02-27,1460
2015-02-28,853
2015-03-01,606
2015-03-02,1443
2015-03-03,1555
2015-03-04,1445
2015-03-05,1521
2015-03-06,1575
2015-03-07,905
2015-03-08,688
2015-03-09,1279
2015-03-10,972
2015-03-11,1496
2015-03-12,1414
2015-03-13,1440
2015-03-14,579
2015-03-15,258
2015-03-16,158
2015-03-17,1206
2015-03-18,1465
2015-03-19,1481
2015-03-20,1435
2015-03-21,1057
2015-03-22,827
2015-03-23,1512
2015-03-24,1523
2015-03-25,1497
2015-03-26,1441
2015-03-27,1441
2015-03-28,937
2015-03-29,661
2015-03-30,1099
2015-03-31,1180
2015-04-01,1121
2015-04-02,651
2015-04-03,508
2015-04-04,428
2015-04-05,596
2015-04-06,1131
2015-04-07,1255
2015-04-08,1251
2015-04-09,1219
2015-04-10,1236
2015-04-11,866
2015-04-12,711
2015-04-13,1452
2015-04-14,1515
2015-04-15,1551
2015-04-16,1479
2015-04-17,1487
2015-04-18,942
2015-04-19,695
2015-04-20,1474
2015-04-21,1537
2015-04-22,1436
2015-04-23,1423
2015-04-24,1456
2015-04-25,903
2015-04-26,666
2015-04-27,1448
2015-04-28,1468
2015-04-29,1449
2015-04-30,1509
2015-05-01,609
2015-05-02,786
2015-05-03,587
2015-05-04,1322
2015-05-05,1368
2015-05-06,1603
2015-05-07,1465
2015-05-08,1445
2015-05-09,904
2015-05-10,545
2015-05-11,1402
2015-05-12,1397
2015-05-13,1536
2015-05-14,1455
2015-05-15,1324
2015-05-16,940
2015-05-17,583
2015-05-18,1497
2015-05-19,1572
2015-05-20,1556
2015-05-21,1590
2015-05-22,1402
2015-05-23,955
2015-05-24,700
2015-05-25,1473
2015-05-26,1530
2015-05-27,1425
2015-05-28,1419
2015-05-29,1304
2015-05-30,965
2015-05-31,681
2015-06-01,1473
2015-06-02,1552
2015-06-03,1567
2015-06-04,1532
2015-06-05,1504
2015-06-06,869
2015-06-07,705
2015-06-08,1442
2015-06-09,1528
2015-06-10,1472
2015-06-11,1451
2015-06-12,1369
2015-06-13,815
2015-06-14,734
2015-06-15,1305
2015-06-16,1437
2015-06-17,1496
2015-06-18,1537
2015-06-19,1254
2015-06-20,748
2015-06-21,628
2015-06-22,1468
2015-06-23,1374
2015-06-24,1425
2015-06-25,1299
2015-06-26,1371
2015-06-27,857
2015-06-28,579
2015-06-29,1311
2015-06-30,1545
2015-07-01,1600
2015-07-02,1414
2015-07-03,1374
2015-07-04,761
2015-07-05,766
2015-07-06,1337
2015-07-07,1316
2015-07-08,1385
2015-07-09,1398
2015-07-10,1367
2015-07-11,851
2015-07-12,750
2015-07-13,1374
2015-07-14,1457
2015-07-15,1587
2015-07-16,1510
2015-07-17,1384
2015-07-18,806
2015-07-19,591
2015-07-20,1352
